faculty_id,program,unit_taught,cohort,session_num,session_date,average_class_trs,num_students_using,histogram_trs,weak_topics,strong_topics
F2001,GMBA,Business Analytics,GMBA_Feb24,1,2024-02-05,76.30052653037227,45,"[5, 11, 30, 9]","Stats, Regression","Machine Learning, Strategy"
F2001,GMBA,Business Analytics,GMBA_Feb24,2,2024-02-24,80.84927849750125,56,"[2, 18, 24, 8]","Forecasting, Simulation","Optimization, Leadership"
F2001,GMBA,Business Analytics,GMBA_Feb24,3,2024-08-28,83.6805953837536,44,"[1, 9, 23, 24]","Regression, Stats","Optimization, Strategy"
F2001,GMBA,Business Analytics,GMBA_Feb24,4,2024-02-25,93.09097684312165,59,"[4, 20, 20, 11]","Regression, Simulation","Optimization, Strategy"
F2001,GMBA,Business Analytics,GMBA_Feb24,5,2024-07-25,78.40206685949688,57,"[3, 15, 15, 12]","Regression, Simulation","Strategy, Optimization"
F2001,GMBA,Business Analytics,GMBA_Feb24,6,2024-10-24,78.36489199558392,56,"[4, 10, 25, 9]","Forecasting, Regression","Leadership, Strategy"
F2001,GMBA,Business Analytics,GMBA_Aug24,1,2024-01-27,74.99737566811208,36,"[5, 15, 16, 22]","Simulation, Stats","Optimization, Strategy"
F2001,GMBA,Business Analytics,GMBA_Aug24,2,2024-11-02,76.99978914978983,50,"[5, 18, 30, 22]","Stats, Simulation","Strategy, Optimization"
F2001,GMBA,Business Analytics,GMBA_Aug24,3,2024-10-04,81.57498338162787,56,"[3, 10, 21, 22]","Stats, Regression","Machine Learning, Strategy"
F2001,GMBA,Business Analytics,GMBA_Aug24,4,2024-09-01,88.87168109329491,46,"[3, 12, 26, 17]","Forecasting, Regression","Strategy, Optimization"
F2001,GMBA,Business Analytics,GMBA_Aug24,5,2024-05-26,74.73915575468519,40,"[1, 11, 22, 14]","Simulation, Stats","Machine Learning, Strategy"
F2001,GMBA,Business Analytics,GMBA_Aug24,6,2024-03-27,88.67478261601538,57,"[2, 20, 24, 24]","Regression, Stats","Strategy, Optimization"
F2001,GMBA,Corporate Finance,GMBA_Feb24,1,2024-01-14,86.26377777429897,42,"[5, 16, 19, 24]","Forecasting, Stats","Optimization, Machine Learning"
F2001,GMBA,Corporate Finance,GMBA_Feb24,2,2024-06-17,76.53196157256549,43,"[2, 10, 26, 8]","Regression, Simulation","Optimization, Leadership"
F2001,GMBA,Corporate Finance,GMBA_Feb24,3,2024-04-27,81.53188306876392,39,"[4, 17, 24, 22]","Regression, Stats","Optimization, Leadership"
F2001,GMBA,Corporate Finance,GMBA_Feb24,4,2024-04-02,77.35774008286155,38,"[3, 19, 19, 18]","Stats, Simulation","Leadership, Machine Learning"
F2001,GMBA,Corporate Finance,GMBA_Feb24,5,2024-04-20,78.05428275061922,56,"[3, 11, 18, 14]","Simulation, Regression","Optimization, Strategy"
F2001,GMBA,Corporate Finance,GMBA_Feb24,6,2024-09-11,74.16727374100354,60,"[1, 16, 27, 9]","Stats, Forecasting","Machine Learning, Strategy"
F2001,GMBA,Corporate Finance,GMBA_Aug24,1,2024-01-08,80.61263625303798,42,"[1, 9, 28, 24]","Regression, Stats","Leadership, Strategy"
F2001,GMBA,Corporate Finance,GMBA_Aug24,2,2024-06-05,83.78273090837158,59,"[2, 18, 25, 7]","Stats, Regression","Optimization, Leadership"
F2001,GMBA,Corporate Finance,GMBA_Aug24,3,2024-01-16,77.45922199881566,37,"[2, 8, 28, 17]","Regression, Simulation","Optimization, Leadership"
F2001,GMBA,Corporate Finance,GMBA_Aug24,4,2024-04-12,72.9117750695842,35,"[2, 18, 22, 9]","Regression, Simulation","Machine Learning, Leadership"
F2001,GMBA,Corporate Finance,GMBA_Aug24,5,2024-11-18,82.04732531984008,47,"[4, 8, 26, 24]","Regression, Forecasting","Leadership, Machine Learning"
F2001,GMBA,Corporate Finance,GMBA_Aug24,6,2024-04-15,79.15490968756866,59,"[1, 7, 15, 19]","Regression, Forecasting","Machine Learning, Leadership"
F2001,GMBA,Leadership,GMBA_Feb24,1,2024-11-16,75.33423517341615,37,"[3, 18, 23, 14]","Regression, Simulation","Leadership, Optimization"
F2001,GMBA,Leadership,GMBA_Feb24,2,2024-01-01,84.24031391840174,52,"[2, 8, 23, 11]","Forecasting, Simulation","Strategy, Leadership"
F2001,GMBA,Leadership,GMBA_Feb24,3,2024-05-25,78.38720980977752,42,"[4, 9, 18, 16]","Regression, Forecasting","Strategy, Optimization"
F2001,GMBA,Leadership,GMBA_Feb24,4,2024-11-21,93.37635758341105,47,"[1, 7, 29, 20]","Simulation, Regression","Leadership, Optimization"
F2001,GMBA,Leadership,GMBA_Feb24,5,2024-12-26,66.20510476029727,51,"[5, 15, 27, 22]","Forecasting, Simulation","Optimization, Leadership"
F2001,GMBA,Leadership,GMBA_Feb24,6,2024-01-02,80.7864721060631,59,"[2, 18, 25, 20]","Regression, Stats","Leadership, Machine Learning"
F2001,GMBA,Leadership,GMBA_Aug24,1,2024-07-19,78.76568338902668,60,"[5, 11, 19, 18]","Stats, Simulation","Machine Learning, Leadership"
F2001,GMBA,Leadership,GMBA_Aug24,2,2024-01-06,88.77064678552499,52,"[2, 15, 28, 18]","Regression, Stats","Optimization, Leadership"
