student_id,program,cohort,unit_name,trs_score,class_average_trs,aptitude_improvement,logical_ability_improvement,sessions_attended,ai_tutor_usage_days,ai_mentor_usage_days,exam_prep_usage_days,ai_tutor_last_access,badges_earned
S1001,MGB,MGB_Jan24,Applied Statistics,84.98430259713776,84.85080173477215,22.069197773800166,14.989390657187993,5,11,6,5,2025-04-26,Consistent User
S1001,MGB,MGB_Jan24,Digital Marketing,78.9661772328346,78.39470283763195,16.098840281497527,17.02671032736577,4,6,1,3,2025-04-27,"Consistent User, Rapid Improver"
S1001,MGB,MGB_Jan24,Supply Chain,97.25055847482079,93.54428284845258,25.24705944515463,21.795625479685157,5,7,2,2,2025-04-16,"Rapid Improver, Rapid Improver"
S1001,MGB,MGB_Jan24,Project Management,67.17898424445322,61.637954048325994,18.31513700681256,15.493561253963962,5,5,1,3,2025-05-11,Top Performer
S1002,MGB,MGB_Jan24,Applied Statistics,79.94143656621195,84.37894770554702,21.146936837647257,19.875728989312414,6,7,7,4,2025-04-21,
S1002,MGB,MGB_Jan24,Digital Marketing,76.38085834090307,75.79093511703284,18.580135403262965,15.105135251900968,4,10,5,3,2025-05-04,Rapid Improver
S1002,MGB,MGB_Jan24,Supply Chain,75.57123953679994,80.04675155193468,22.066875866625153,19.745136136763517,5,3,5,5,2025-04-25,"Consistent User, Consistent User"
S1002,MGB,MGB_Jan24,Project Management,70.94667298868757,81.37208624381918,15.569788930751908,17.86679695580449,6,11,6,3,2025-04-18,"Rapid Improver, Rapid Improver"
S1003,MGB,MGB_Jan24,Applied Statistics,75.8441745826401,75.81770307668452,19.542425976966616,18.59845656818105,6,4,5,6,2025-04-15,"Consistent User, Top Performer"
S1003,MGB,MGB_Jan24,Digital Marketing,84.0479615892689,88.03933338663073,21.963017102252877,20.067929521805212,5,11,4,5,2025-05-04,Top Performer
S1003,MGB,MGB_Jan24,Supply Chain,84.73596425056903,86.95232251479136,18.590393522020715,16.588373395572322,4,4,7,3,2025-05-17,Rapid Improver
S1003,MGB,MGB_Jan24,Project Management,70.9691277234302,62.97930069172427,17.27796939357545,17.85999520213966,5,5,4,2,2025-05-19,"Top Performer, Top Performer"
S1004,MGB,MGB_Jan24,Applied Statistics,86.29905954448977,84.47657972109249,22.921759607076087,18.992947354308278,4,10,2,3,2025-05-16,"Rapid Improver, Rapid Improver"
S1004,MGB,MGB_Jan24,Digital Marketing,75.24511467422138,71.08672559919177,16.666994533857356,19.170934810833838,6,11,2,4,2025-05-17,Rapid Improver
S1004,MGB,MGB_Jan24,Supply Chain,91.84794910623191,94.11043110029243,23.12494069487638,19.146247166423475,6,11,4,3,2025-04-13,Top Performer
S1004,MGB,MGB_Jan24,Project Management,63.2163342344336,55.903923190984315,15.317257710824409,9.407594694626107,4,9,4,2,2025-04-20,"Rapid Improver, Rapid Improver"
S1005,MGB,MGB_Jan24,Applied Statistics,70.88007881173958,79.21064704248933,19.140435480370336,16.22409400504763,6,3,2,1,2025-05-01,"Top Performer, Consistent User"
S1005,MGB,MGB_Jan24,Digital Marketing,92.80684766005429,92.70167475284786,23.856711653099673,18.243734353217384,4,5,4,2,2025-04-26,"Rapid Improver, Consistent User"
S1005,MGB,MGB_Jan24,Supply Chain,80.92393394684225,78.6034754160008,20.650707078466404,16.62488697435588,6,6,1,2,2025-04-25,"Top Performer, Top Performer"
S1005,MGB,MGB_Jan24,Project Management,75.25826644653776,64.66981798146503,17.981894381781153,18.194115174223576,6,3,5,4,2025-04-18,"Rapid Improver, Top Performer"
S1006,MGB,MGB_Jan24,Applied Statistics,78.07783745880707,70.94794012882025,21.09543383663451,17.36545739715365,4,7,7,4,2025-05-19,"Rapid Improver, Top Performer"
S1006,MGB,MGB_Jan24,Digital Marketing,86.1242857674338,85.29372466790734,25.279142168935017,17.086520171039478,6,9,4,6,2025-04-28,Top Performer
S1006,MGB,MGB_Jan24,Supply Chain,75.10707261250762,75.67071569344571,17.33370006856333,17.679779743478623,6,7,5,2,2025-05-15,"Top Performer, Top Performer"
S1006,MGB,MGB_Jan24,Project Management,81.85021299275945,80.5836129269442,18.849506418657946,16.53923977414553,4,7,1,3,2025-05-02,Rapid Improver
S1007,MGB,MGB_Jan24,Applied Statistics,91.53579920227332,93.16763431688813,23.379979248009256,19.502162492946876,5,4,3,4,2025-05-20,"Rapid Improver, Consistent User"
S1007,MGB,MGB_Jan24,Digital Marketing,84.28869038868731,84.80762837253494,25.88077137445512,16.669992087681607,4,6,6,2,2025-04-17,Rapid Improver
S1007,MGB,MGB_Jan24,Supply Chain,86.66809710005,86.51156414348492,23.382878132073103,19.807275733155294,5,5,5,5,2025-05-06,
S1007,MGB,MGB_Jan24,Project Management,68.28182988918294,71.05569310155136,15.765598947072968,12.03352420915265,5,6,1,4,2025-05-06,"Consistent User, Consistent User"
S1008,MGB,MGB_Jan24,Applied Statistics,72.30062597636669,68.16787598413495,16.23142139207019,15.10142019076125,4,11,3,6,2025-05-11,"Top Performer, Top Performer"
S1008,MGB,MGB_Jan24,Digital Marketing,67.63904302595468,69.69841271828017,17.99821908677721,12.478832166639885,6,12,1,1,2025-05-04,"Top Performer, Rapid Improver"
S1008,MGB,MGB_Jan24,Supply Chain,78.29129831166703,81.54597261387453,21.467645002961035,15.272645327933438,6,10,7,6,2025-04-26,"Consistent User, Rapid Improver"
S1008,MGB,MGB_Jan24,Project Management,98.50870819463535,91.04977284414004,26.453186880263104,20.310835484527345,5,7,4,2,2025-04-15,
S1009,MGB,MGB_Jan24,Applied Statistics,63.975368745601024,68.24375464711132,13.7002392080988,14.726418619750989,6,7,1,5,2025-04-14,Top Performer
S1009,MGB,MGB_Jan24,Digital Marketing,96.39488393978792,98.0,24.228656874238556,22.84006191397084,4,6,2,5,2025-05-10,"Top Performer, Top Performer"
S1009,MGB,MGB_Jan24,Supply Chain,78.4483827219379,72.65386692398727,19.435358801721964,15.495573519641438,5,6,7,6,2025-04-18,"Top Performer, Consistent User"
S1009,MGB,MGB_Jan24,Project Management,63.16813265191761,64.62673119613558,18.89710778781844,13.034219243385502,4,3,7,6,2025-04-15,Top Performer
S1010,MGB,MGB_Jan24,Applied Statistics,68.02469980010198,61.512292526949764,20.11488513038648,15.982981662054355,4,6,3,3,2025-05-06,"Top Performer, Rapid Improver"
S1010,MGB,MGB_Jan24,Digital Marketing,71.63318120655335,68.72402899111756,15.810257582998288,14.576302693242138,6,3,4,6,2025-05-15,
S1010,MGB,MGB_Jan24,Supply Chain,80.02372182482277,88.85977359610021,20.063580818218057,18.641444167453727,6,12,6,5,2025-05-09,Rapid Improver
S1010,MGB,MGB_Jan24,Project Management,77.27883562565637,77.34960105798889,18.578654782332592,18.354680331091153,6,10,4,3,2025-04-14,Top Performer
S1011,MGB,MGB_Jan24,Applied Statistics,73.04796377002592,74.29427893116953,18.102440895665985,13.337064327279675,6,4,1,6,2025-04-27,"Top Performer, Consistent User"
S1011,MGB,MGB_Jan24,Digital Marketing,75.20710125554376,74.26030901826422,18.13379786238215,14.724473915488158,6,6,7,4,2025-05-03,Consistent User
S1011,MGB,MGB_Jan24,Supply Chain,68.85224254619348,74.20090079582896,18.295264970877874,16.074850942549762,5,9,5,1,2025-05-03,Consistent User
